X,Y,Z
1,0.000825488,0,

1,0.00308076,0,

1,0.00473174,0,

1,0.00698701,0,

1,0.00863799,0,

1,0.0108933,0,

1,0.0125442,0,

1,0.0147995,0,

1,0.0164505,0,

1,0.0187058,0,

1,0.0203567,0,

1,0.022612,0,

1,0.024263,0,

1,0.0265183,0,

1,0.0281692,0,

1,0.0304245,0,

1,0.0320755,0,

1,0.0343308,0,

1,0.0359817,0,

1,0.038237,0,

1,0.039888,0,

1,0.0421433,0,

1,0.0437942,0,

1,0.0460495,0,

1,0.0477005,0,

1,0.0499558,0,

1,0.0516067,0,

1,0.053862,0,

1,0.055513,0,

1,0.0577683,0,

1,0.0594192,0,

1,0.0616745,0,

1,0.0633255,0,

1,0.0655808,0,

1,0.0672317,0,

1,0.069487,0,

1,0.071138,0,

1,0.0733933,0,

1,0.0750442,0,

1,0.0772995,0,

1,0.0789505,0,

1,0.0812058,0,

1,0.0828567,0,

1,0.085112,0,

1,0.086763,0,

1,0.0890183,0,

1,0.0906692,0,

1,0.0929245,0,

1,0.0945755,0,

1,0.0968308,0,

1,0.0984817,0,

1,0.100737,0,

1,0.102388,0,

1,0.104643,0,

1,0.106294,0,

1,0.10855,0,

1,0.1102,0,

1,0.112456,0,

1,0.114107,0,

1,0.116362,0,

1,0.118013,0,

1,0.120268,0,

1,0.121919,0,

1,0.124175,0,

1,0.125825,0,

1,0.128081,0,

1,0.129732,0,

1,0.131987,0,

1,0.133638,0,

1,0.135893,0,

1,0.137544,0,

1,0.1398,0,

1,0.14145,0,

1,0.143706,0,

1,0.145357,0,

1,0.147612,0,

1,0.149263,0,

1,0.151518,0,

1,0.153169,0,

1,0.155425,0,

1,0.157075,0,

1,0.159331,0,

1,0.160982,0,

1,0.163237,0,

1,0.164888,0,

1,0.167143,0,

1,0.168794,0,

1,0.17105,0,

1,0.1727,0,

1,0.174956,0,

1,0.176607,0,

1,0.178862,0,

1,0.180513,0,

1,0.182768,0,

1,0.184419,0,

1,0.186675,0,

1,0.188325,0,

1,0.190581,0,

1,0.192232,0,

1,0.194487,0,

1,0.196138,0,

1,0.198393,0,

1,0.200044,0,

1,0.2023,0,

1,0.20395,0,

1,0.206206,0,

1,0.207857,0,

1,0.210112,0,

1,0.211763,0,

1,0.214018,0,

1,0.215669,0,

1,0.217925,0,

1,0.219575,0,

1,0.221831,0,

1,0.223482,0,

1,0.225737,0,

1,0.227388,0,

1,0.229643,0,

1,0.231294,0,

1,0.23355,0,

1,0.2352,0,

1,0.237456,0,

1,0.239107,0,

1,0.241362,0,

1,0.243013,0,

1,0.245268,0,

1,0.246919,0,

1,0.249175,0,

1,0.250825,0,

1,0.253081,0,

1,0.254732,0,

1,0.256987,0,

1,0.258638,0,

1,0.260893,0,

1,0.262544,0,

1,0.2648,0,

1,0.26645,0,

1,0.268706,0,

1,0.270357,0,

1,0.272612,0,

1,0.274263,0,

1,0.276518,0,

1,0.278169,0,

1,0.280425,0,

1,0.282075,0,

1,0.284331,0,

1,0.285982,0,

1,0.288237,0,

1,0.289888,0,

1,0.292143,0,

1,0.293794,0,

1,0.29605,0,

1,0.2977,0,

1,0.299956,0,

1,0.301607,0,

1,0.303862,0,

1,0.305513,0,

1,0.307768,0,

1,0.309419,0,

1,0.311675,0,

1,0.313325,0,

1,0.315581,0,

1,0.317232,0,

1,0.319487,0,

1,0.321138,0,

1,0.323393,0,

1,0.325044,0,

1,0.3273,0,

1,0.32895,0,

1,0.331206,0,

1,0.332857,0,

1,0.335112,0,

1,0.336763,0,

1,0.339018,0,

1,0.340669,0,

1,0.342925,0,

1,0.344575,0,

1,0.346831,0,

1,0.348482,0,

1,0.350737,0,

1,0.352388,0,

1,0.354643,0,

1,0.356294,0,

1,0.35855,0,

1,0.3602,0,

1,0.362456,0,

1,0.364107,0,

1,0.366362,0,

1,0.368013,0,

1,0.370268,0,

1,0.371919,0,

1,0.374175,0,

1,0.375825,0,

1,0.378081,0,

1,0.379732,0,

1,0.381987,0,

1,0.383638,0,

1,0.385893,0,

1,0.387544,0,

1,0.3898,0,

1,0.39145,0,

1,0.393706,0,

1,0.395357,0,

1,0.397612,0,

1,0.399263,0,

1,0.401518,0,

1,0.403169,0,

1,0.405425,0,

1,0.407075,0,

1,0.409331,0,

1,0.410982,0,

1,0.413237,0,

1,0.414888,0,

1,0.417143,0,

1,0.418794,0,

1,0.42105,0,

1,0.4227,0,

1,0.424956,0,

1,0.426607,0,

1,0.428862,0,

1,0.430513,0,

1,0.432768,0,

1,0.434419,0,

1,0.436675,0,

1,0.438325,0,

1,0.440581,0,

1,0.442232,0,

1,0.444487,0,

1,0.446138,0,

1,0.448393,0,

1,0.450044,0,

1,0.4523,0,

1,0.45395,0,

1,0.456206,0,

1,0.457857,0,

1,0.460112,0,

1,0.461763,0,

1,0.464018,0,

1,0.465669,0,

1,0.467925,0,

1,0.469575,0,

1,0.471831,0,

1,0.473482,0,

1,0.475737,0,

1,0.477388,0,

1,0.479643,0,

1,0.481294,0,

1,0.48355,0,

1,0.4852,0,

1,0.487456,0,

1,0.489107,0,

1,0.491362,0,

1,0.493013,0,

1,0.495268,0,

1,0.496919,0,

1,0.499175,0,

1,0.500825,0,

1,0.503081,0,

1,0.504732,0,

1,0.506987,0,

1,0.508638,0,

1,0.510893,0,

1,0.512544,0,

1,0.5148,0,

1,0.51645,0,

1,0.518706,0,

1,0.520357,0,

1,0.522612,0,

1,0.524263,0,

1,0.526518,0,

1,0.528169,0,

1,0.530425,0,

1,0.532075,0,

1,0.534331,0,

1,0.535982,0,

1,0.538237,0,

1,0.539888,0,

1,0.542143,0,

1,0.543794,0,

1,0.54605,0,

1,0.5477,0,

1,0.549956,0,

1,0.551607,0,

1,0.553862,0,

1,0.555513,0,

1,0.557768,0,

1,0.559419,0,

1,0.561675,0,

1,0.563325,0,

1,0.565581,0,

1,0.567232,0,

1,0.569487,0,

1,0.571138,0,

1,0.573393,0,

1,0.575044,0,

1,0.5773,0,

1,0.57895,0,

1,0.581206,0,

1,0.582857,0,

1,0.585112,0,

1,0.586763,0,

1,0.589018,0,

1,0.590669,0,

1,0.592925,0,

1,0.594575,0,

1,0.596831,0,

1,0.598482,0,

1,0.600737,0,

1,0.602388,0,

1,0.604643,0,

1,0.606294,0,

1,0.60855,0,

1,0.6102,0,

1,0.612456,0,

1,0.614107,0,

1,0.616362,0,

1,0.618013,0,

1,0.620268,0,

1,0.621919,0,

1,0.624175,0,

1,0.625825,0,

1,0.628081,0,

1,0.629732,0,

1,0.631987,0,

1,0.633638,0,

1,0.635893,0,

1,0.637544,0,

1,0.6398,0,

1,0.64145,0,

1,0.643706,0,

1,0.645357,0,

1,0.647612,0,

1,0.649263,0,

1,0.651518,0,

1,0.653169,0,

1,0.655425,0,

1,0.657075,0,

1,0.659331,0,

1,0.660982,0,

1,0.663237,0,

1,0.664888,0,

1,0.667143,0,

1,0.668794,0,

1,0.67105,0,

1,0.6727,0,

1,0.674956,0,

1,0.676607,0,

1,0.678862,0,

1,0.680513,0,

1,0.682768,0,

1,0.684419,0,

1,0.686675,0,

1,0.688325,0,

1,0.690581,0,

1,0.692232,0,

1,0.694487,0,

1,0.696138,0,

1,0.698393,0,

1,0.700044,0,

1,0.7023,0,

1,0.70395,0,

1,0.706206,0,

1,0.707857,0,

1,0.710112,0,

1,0.711763,0,

1,0.714018,0,

1,0.715669,0,

1,0.717925,0,

1,0.719575,0,

1,0.721831,0,

1,0.723482,0,

1,0.725737,0,

1,0.727388,0,

1,0.729643,0,

1,0.731294,0,

1,0.73355,0,

1,0.7352,0,

1,0.737456,0,

1,0.739107,0,

1,0.741362,0,

1,0.743013,0,

1,0.745268,0,

1,0.746919,0,

1,0.749175,0,

1,0.750825,0,

1,0.753081,0,

1,0.754732,0,

1,0.756987,0,

1,0.758638,0,

1,0.760893,0,

1,0.762544,0,

1,0.7648,0,

1,0.76645,0,

1,0.768706,0,

1,0.770357,0,

1,0.772612,0,

1,0.774263,0,

1,0.776518,0,

1,0.778169,0,

1,0.780425,0,

1,0.782075,0,

1,0.784331,0,

1,0.785982,0,

1,0.788237,0,

1,0.789888,0,

1,0.792143,0,

1,0.793794,0,

1,0.79605,0,

1,0.7977,0,

1,0.799956,0,

1,0.801607,0,

1,0.803862,0,

1,0.805513,0,

1,0.807768,0,

1,0.809419,0,

1,0.811675,0,

1,0.813325,0,

1,0.815581,0,

1,0.817232,0,

1,0.819487,0,

1,0.821138,0,

1,0.823393,0,

1,0.825044,0,

1,0.8273,0,

1,0.82895,0,

1,0.831206,0,

1,0.832857,0,

1,0.835112,0,

1,0.836763,0,

1,0.839018,0,

1,0.840669,0,

1,0.842925,0,

1,0.844575,0,

1,0.846831,0,

1,0.848482,0,

1,0.850737,0,

1,0.852388,0,

1,0.854643,0,

1,0.856294,0,

1,0.85855,0,

1,0.8602,0,

1,0.862456,0,

1,0.864107,0,

1,0.866362,0,

1,0.868013,0,

1,0.870268,0,

1,0.871919,0,

1,0.874175,0,

1,0.875825,0,

1,0.878081,0,

1,0.879732,0,

1,0.881987,0,

1,0.883638,0,

1,0.885893,0,

1,0.887544,0,

1,0.8898,0,

1,0.89145,0,

1,0.893706,0,

1,0.895357,0,

1,0.897612,0,

1,0.899263,0,

1,0.901518,0,

1,0.903169,0,

1,0.905425,0,

1,0.907075,0,

1,0.909331,0,

1,0.910982,0,

1,0.913237,0,

1,0.914888,0,

1,0.917143,0,

1,0.918794,0,

1,0.92105,0,

1,0.9227,0,

1,0.924956,0,

1,0.926607,0,

1,0.928862,0,

1,0.930513,0,

1,0.932768,0,

1,0.934419,0,

1,0.936675,0,

1,0.938325,0,

1,0.940581,0,

1,0.942232,0,

1,0.944487,0,

1,0.946138,0,

1,0.948393,0,

1,0.950044,0,

1,0.9523,0,

1,0.95395,0,

1,0.956206,0,

1,0.957857,0,

1,0.960112,0,

1,0.961763,0,

1,0.964018,0,

1,0.965669,0,

1,0.967925,0,

1,0.969575,0,

1,0.971831,0,

1,0.973482,0,

1,0.975737,0,

1,0.977388,0,

1,0.979643,0,

1,0.981294,0,

1,0.98355,0,

1,0.9852,0,

1,0.987456,0,

1,0.989107,0,

1,0.991362,0,

1,0.993013,0,

1,0.995268,0,

1,0.996919,0,

1,0.999175,0,

